filename,date,timestamp,total_pixels,analysis_pixels,water_pixels,water_pct_of_analysis,water_pct_of_total,threshold_used,ndwi_min,ndwi_max,ndwi_mean,ndwi_std,analysis_area_km2,water_area_km2,initial_water_pixels,noise_removed_pixels,cleaning_efficiency_pct,removed_by_opening,added_by_closing,removed_by_size,water_mask_file,ndwi_file
2024-02-03.tif,2024-02-03,2024-02-03,24141920,1564550,51135,3.2683519222779713,0.2118099968850862,0.0,-0.3887884318828583,0.323807954788208,-0.07835309207439423,0.04789943993091583,14.08095,0.460215,67160,16025,23.860929124478858,17061,3078,2042,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-02-03_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-02-03_ndwi.tif
2024-02-06.tif,2024-02-06,2024-02-06,24141920,1564550,37780,2.414751845578601,0.15649128155507103,0.0,-0.5895721912384033,0.3647409975528717,-0.1697872132062912,0.11641466617584229,14.08095,0.34002,44591,6811,15.274382722971003,7432,1810,1189,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-02-06_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-02-06_ndwi.tif
2024-02-12.tif,2024-02-12,2024-02-12,24141920,1564550,117897,7.535521395928542,0.48834972529111187,0.0,-0.3896270990371704,0.5550122261047363,-0.06565973162651062,0.06831537932157516,14.08095,1.061073,148611,30714,20.66737993822799,31465,5840,5089,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-02-12_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-02-12_ndwi.tif
2024-02-17.tif,2024-02-17,2024-02-17,24132640,1564330,115652,7.3930692373092635,0.4792347625456643,0.0,-0.41433021426200867,0.6890080571174622,-0.04593103379011154,0.05347093194723129,14.07897,1.0408680000000001,168704,53052,31.446794385432472,54997,7979,6034,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-02-17_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-02-17_ndwi.tif
2024-04-26.tif,2024-04-26,2024-04-26,24141920,1564550,36734,2.3478955610239365,0.1521585689953409,0.0,-0.35705044865608215,0.2887558341026306,-0.1123020127415657,0.049073878675699234,14.08095,0.330606,44511,7777,17.47208555188605,7290,1137,1624,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-04-26_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-04-26_ndwi.tif
2024-04-28.tif,2024-04-28,2024-04-28,24141920,1564550,35903,2.294781247003931,0.1487164235487484,0.0,-0.27934959530830383,0.3067660629749298,-0.05529831349849701,0.03518616035580635,14.08095,0.323127,58498,22595,38.62525214537249,21266,1243,2572,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-04-28_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-04-28_ndwi.tif
2024-04-29.tif,2024-04-29,2024-04-29,24141920,1564550,85244,5.4484676104950305,0.3530953627549093,0.0,-0.3522302806377411,0.23253947496414185,-0.07717698067426682,0.07794377207756042,14.08095,0.767196,101715,16471,16.19328515951433,16685,2829,2615,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-04-29_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-04-29_ndwi.tif
2024-04-30.tif,2024-04-30,2024-04-30,24141920,1564550,33128,2.1174139528938034,0.1372218945303439,0.0,-0.46700507402420044,0.24646924436092377,-0.1431361436843872,0.056105710566043854,14.08095,0.29815200000000003,39099,5971,15.27149031944551,5520,1007,1458,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-04-30_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-04-30_ndwi.tif
2024-05-03.tif,2024-05-03,2024-05-03,24141920,1564550,100863,6.4467738327314565,0.41779195689489484,0.0,-0.4120813310146332,0.3554929494857788,-0.07643259316682816,0.06315552443265915,14.08095,0.907767,114345,13482,11.790633608815426,15042,4500,2940,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-05-03_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-05-03_ndwi.tif
2024-05-11.tif,2024-05-11,2024-05-11,24141920,1564550,103980,6.646000447412995,0.4307031089490811,0.0,-0.3892727792263031,0.40062111616134644,-0.06411115825176239,0.05942148715257645,14.08095,0.93582,134403,30423,22.635655454119327,33952,6971,3442,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/water/langtang2024/2024-05-11_water_mask.tif,/Users/varyabazilova/Desktop/glacial_lakes/super_lakes/ndwi/langtang2024/2024-05-11_ndwi.tif
