date,total_area_km2,feature_count,year
2021-01-28,1.665333,251,2021
2021-02-24,1.432125,188,2021
2021-03-03,1.4859,231,2021
2021-03-17,0.9122939999999999,119,2021
2021-09-04,1.216116,147,2021
2021-09-18,0.672408,109,2021
2021-09-20,0.8991270000000001,138,2021
2021-10-05,0.4794299999999999,78,2021
2021-10-09,0.9295920000000001,125,2021
2021-10-13,0.7065899999999999,97,2021
2021-10-15,0.929736,122,2021
