filename,date,timestamp,total_pixels,glacier_pixels,water_pixels,water_pct_of_glacier,water_pct_of_total,threshold_used,ndwi_min,ndwi_max,ndwi_mean,ndwi_std,glacier_area_km2,water_area_km2,initial_water_pixels,noise_removed_pixels,cleaning_efficiency_pct,removed_by_opening,added_by_closing,removed_by_size,water_mask_file,ndwi_file
2025-01-08_composite_mosaic.tif,2025-01-08,2025-01-08,24117600,11554409,744258,6.441333347296257,3.085953826251368,0.2,-0.9155354499816895,0.9997091889381409,0.020838845521211624,0.13739965856075287,103.989681,6.698322,965338,221080,22.90182298842478,264637,60703,17146,outputs_fixed/2025-01-08_composite_mosaic_fixed_water.tif,outputs_fixed/2025-01-08_composite_mosaic_fixed_ndwi.tif
2025-02-08_composite_mosaic.tif,2025-02-08,2025-02-08,24117600,11554409,375010,3.245600878417927,1.554922546190334,0.2,-0.3967789113521576,0.5652379989624023,0.026209278032183647,0.08828945457935333,103.989681,3.37509,426911,51901,12.157334901185493,70416,27633,9118,outputs_fixed/2025-02-08_composite_mosaic_fixed_water.tif,outputs_fixed/2025-02-08_composite_mosaic_fixed_ndwi.tif
2025-04-25_composite_mosaic.tif,2025-04-25,2025-04-25,24117600,11554409,47349,0.4097916215359868,0.19632550502537566,0.2,-0.3353135287761688,0.42331090569496155,0.01789139397442341,0.05742723122239113,103.989681,0.426141,55937,8588,15.35298639540912,9180,2021,1429,outputs_fixed/2025-04-25_composite_mosaic_fixed_water.tif,outputs_fixed/2025-04-25_composite_mosaic_fixed_ndwi.tif
2025-05-25_composite_mosaic.tif,2025-05-25,2025-05-25,24117600,11554409,46953,0.4063643584020611,0.19468355060204995,0.2,-0.45020824670791626,0.636786937713623,0.006811852566897869,0.050847914069890976,103.989681,0.42257700000000004,51941,4988,9.603203634893436,4482,757,1263,outputs_fixed/2025-05-25_composite_mosaic_fixed_water.tif,outputs_fixed/2025-05-25_composite_mosaic_fixed_ndwi.tif
2025-06-14_composite_mosaic.tif,2025-06-14,2025-06-14,24117600,11554409,47798,0.4136775840287461,0.19818721597505556,0.2,-0.42098766565322876,0.47953763604164124,0.025569435209035873,0.06699039041996002,103.989681,0.430182,51378,3580,6.967962941336759,4334,1248,494,outputs_fixed/2025-06-14_composite_mosaic_fixed_water.tif,outputs_fixed/2025-06-14_composite_mosaic_fixed_ndwi.tif
2025-06-28_composite_mosaic.tif,2025-06-28,2025-06-28,24117600,11554409,14088,0.12192748240087399,0.05841377251467808,0.2,-0.5215617418289185,0.550303041934967,-0.007475266698747873,0.058741360902786255,103.989681,0.12679200000000002,16380,2292,13.992673992673993,1909,228,611,outputs_fixed/2025-06-28_composite_mosaic_fixed_water.tif,outputs_fixed/2025-06-28_composite_mosaic_fixed_ndwi.tif
2025-07-06_composite_mosaic.tif,2025-07-06,2025-07-06,24117600,11554409,32522,0.2814683122260948,0.13484758019040038,0.2,-0.5473098158836365,0.8736000061035156,0.0147100193426013,0.06592109054327011,103.989681,0.292698,36282,3760,10.363265531117358,3102,317,975,outputs_fixed/2025-07-06_composite_mosaic_fixed_water.tif,outputs_fixed/2025-07-06_composite_mosaic_fixed_ndwi.tif
2025-08-21_composite_mosaic.tif,2025-08-21,2025-08-21,24117600,11554409,26739,0.23141815388394163,0.11086924072046969,0.2,-0.6278316974639893,0.6154506206512451,0.013393931090831757,0.06907679885625839,103.989681,0.240651,29308,2569,8.765524771393476,2114,295,750,outputs_fixed/2025-08-21_composite_mosaic_fixed_water.tif,outputs_fixed/2025-08-21_composite_mosaic_fixed_ndwi.tif
